@relation adult-income-weka.filters.unsupervised.instance.Resample-S1-Z3.0-weka.filters.unsupervised.instance.RemovePercentage-P60.0-V

@attribute age numeric
@attribute workclass {' State-gov',' Self-emp-not-inc',' Private',' Federal-gov',' Local-gov',' Self-emp-inc',' Without-pay'}
@attribute fnlwgt numeric
@attribute education {' Bachelors',' HS-grad',' 11th',' Masters',' 9th',' Some-college',' Assoc-acdm',' 7th-8th',' Doctorate',' Assoc-voc',' Prof-school',' 5th-6th',' 10th',' Preschool',' 12th',' 1st-4th'}
@attribute education-num numeric
@attribute marital-status {' Never-married',' Married-civ-spouse',' Divorced',' Married-spouse-absent',' Separated',' Married-AF-spouse',' Widowed'}
@attribute occupation {' Adm-clerical',' Exec-managerial',' Handlers-cleaners',' Prof-specialty',' Other-service',' Sales',' Transport-moving',' Farming-fishing',' Machine-op-inspct',' Tech-support',' Craft-repair',' Protective-serv',' Armed-Forces',' Priv-house-serv'}
@attribute relationship {' Not-in-family',' Husband',' Wife',' Own-child',' Unmarried',' Other-relative'}
@attribute race {' White',' Black',' Asian-Pac-Islander',' Amer-Indian-Eskimo',' Other'}
@attribute sex {' Male',' Female'}
@attribute capital-gain numeric
@attribute capital-loss numeric
@attribute hours-per-week numeric
@attribute native-country {' United-States',' Cuba',' Jamaica',' India',' Mexico',' Puerto-Rico',' Honduras',' England',' Canada',' Germany',' Iran',' Philippines',' Poland',' Columbia',' Cambodia',' Thailand',' Ecuador',' Laos',' Taiwan',' Haiti',' Portugal',' Dominican-Republic',' El-Salvador',' France',' Guatemala',' Italy',' China',' South',' Japan',' Yugoslavia',' Peru',' Outlying-US(Guam-USVI-etc)',' Scotland',' Trinadad&Tobago',' Greece',' Nicaragua',' Vietnam',' Hong',' Ireland',' Hungary',' Holand-Netherlands'}
@attribute income {' <=50K',' >50K'}

@data
62,' Private',159908,' Some-college',10,' Married-civ-spouse',' Adm-clerical',' Wife',' White',' Female',0,0,38,' United-States',' >50K'
49,' Private',124672,' HS-grad',9,' Married-civ-spouse',' Craft-repair',' Husband',' White',' Male',0,0,40,' United-States',' >50K'
52,' Private',150930,' Assoc-voc',11,' Married-civ-spouse',' Craft-repair',' Husband',' White',' Male',0,0,40,' United-States',' <=50K'
33,' Private',373662,' 1st-4th',2,' Married-spouse-absent',' Priv-house-serv',' Not-in-family',' White',' Female',0,0,40,' Guatemala',' <=50K'
44,' State-gov',98989,' Bachelors',13,' Married-civ-spouse',' Prof-specialty',' Husband',' Amer-Indian-Eskimo',' Male',0,0,38,' United-States',' >50K'
58,' Private',142326,' Bachelors',13,' Divorced',' Prof-specialty',' Not-in-family',' White',' Female',0,0,50,' United-States',' <=50K'
33,' Local-gov',194901,' Bachelors',13,' Married-civ-spouse',' Prof-specialty',' Husband',' White',' Male',0,0,40,' United-States',' >50K'
52,' Private',198863,' Prof-school',15,' Divorced',' Exec-managerial',' Not-in-family',' White',' Male',0,2559,60,' United-States',' >50K'
56,' Private',104842,' Bachelors',13,' Divorced',' Prof-specialty',' Unmarried',' Black',' Female',0,0,50,' Haiti',' <=50K'
25,' Private',356017,' 11th',7,' Never-married',' Other-service',' Not-in-family',' White',' Male',0,0,99,' United-States',' <=50K'
20,' Private',199011,' Some-college',10,' Never-married',' Handlers-cleaners',' Own-child',' White',' Male',0,0,12,' United-States',' <=50K'
20,' Private',88231,' Some-college',10,' Never-married',' Adm-clerical',' Not-in-family',' White',' Female',0,0,40,' United-States',' <=50K'
25,' Private',312966,' 9th',5,' Separated',' Handlers-cleaners',' Other-relative',' White',' Male',0,0,40,' El-Salvador',' <=50K'
